order_id,side,fill_price,fill_size,fill_ts,fee,queue_ahead_estimate,fair_at_fill,fair_after_1s,fair_after_5s,fair_after_30s
v-1700000006300-000001,buy,9984030.0,0.0001,1700000007000,0.0,0.0,9984000.0,9990000.0,9990000.0,9990000.0
v-1700000006300-000003,buy,9974051.0,0.0001,1700000007000,0.0,0.0,9984000.0,9990000.0,9990000.0,9990000.0
